Frame,track_id,team,coordinates_2d_x,coordinates_2d_y,coordinates_3d_x,coordinates_3d_y,homo
0,1,Away,170.52207243581572,373.91216072768253,366.85980224609375,568.24755859375,"[[    -3.4733     -7.1679      358.61]
 [    -1.8188     -21.432      2400.6]
 [ -0.0013466   -0.046497           1]]"
0,2,Home,243.15077313827027,394.973747074514,1300.29443359375,522.0335083007812,"[[    -3.4733     -7.1679      358.61]
 [    -1.8188     -21.432      2400.6]
 [ -0.0013466   -0.046497           1]]"
0,3,Referee,171.81785699657794,359.20687324844096,350.5380859375,491.78009033203125,"[[    -3.4733     -7.1679      358.61]
 [    -1.8188     -21.432      2400.6]
 [ -0.0013466   -0.046497           1]]"
0,4,Home,205.9367305117932,344.48615839436314,631.9959716796875,392.62261962890625,"[[    -3.4733     -7.1679      358.61]
 [    -1.8188     -21.432      2400.6]
 [ -0.0013466   -0.046497           1]]"
0,5,Home,179.11160774469866,345.785570058675,398.7681884765625,430.0997314453125,"[[    -3.4733     -7.1679      358.61]
 [    -1.8188     -21.432      2400.6]
 [ -0.0013466   -0.046497           1]]"
0,6,Home,228.9545518739386,344.368988529995,808.1442260742188,367.4117431640625,"[[    -3.4733     -7.1679      358.61]
 [    -1.8188     -21.432      2400.6]
 [ -0.0013466   -0.046497           1]]"
0,7,Home,197.85249631739615,342.79254752025867,559.245361328125,397.37274169921875,"[[    -3.4733     -7.1679      358.61]
 [    -1.8188     -21.432      2400.6]
 [ -0.0013466   -0.046497           1]]"
0,8,Referee,218.62036103607826,367.02221300911935,845.312255859375,446.2820739746094,"[[    -3.4733     -7.1679      358.61]
 [    -1.8188     -21.432      2400.6]
 [ -0.0013466   -0.046497           1]]"
0,9,Home,224.12910597038356,340.9659653914604,758.0969848632812,364.2680358886719,"[[    -3.4733     -7.1679      358.61]
 [    -1.8188     -21.432      2400.6]
 [ -0.0013466   -0.046497           1]]"
0,10,Referee,300.5887331259949,392.9016394178067,1685.9681396484375,417.6513977050781,"[[    -3.4733     -7.1679      358.61]
 [    -1.8188     -21.432      2400.6]
 [ -0.0013466   -0.046497           1]]"
0,11,Home,230.53227766189625,366.91564840454726,944.869873046875,428.77996826171875,"[[    -3.4733     -7.1679      358.61]
 [    -1.8188     -21.432      2400.6]
 [ -0.0013466   -0.046497           1]]"
0,12,Home,212.39596636922445,414.1565095345504,1238.833984375,753.7236328125,"[[    -3.4733     -7.1679      358.61]
 [    -1.8188     -21.432      2400.6]
 [ -0.0013466   -0.046497           1]]"
0,13,Home,213.38397514117955,371.76731916908375,826.9953002929688,472.5978698730469,"[[    -3.4733     -7.1679      358.61]
 [    -1.8188     -21.432      2400.6]
 [ -0.0013466   -0.046497           1]]"
0,14,Home,171.3770749774279,328.0628101932691,299.79693603515625,387.941650390625,"[[    -3.4733     -7.1679      358.61]
 [    -1.8188     -21.432      2400.6]
 [ -0.0013466   -0.046497           1]]"
0,15,Home,251.76318220677203,357.23458511012905,1039.7001953125,375.0216064453125,"[[    -3.4733     -7.1679      358.61]
 [    -1.8188     -21.432      2400.6]
 [ -0.0013466   -0.046497           1]]"
0,16,Referee,251.10594007792034,376.1596728505029,1175.83740234375,430.8845520019531,"[[    -3.4733     -7.1679      358.61]
 [    -1.8188     -21.432      2400.6]
 [ -0.0013466   -0.046497           1]]"
0,17,Home_keeper,227.29134203053266,354.9404527361544,848.231689453125,396.50115966796875,"[[    -3.4733     -7.1679      358.61]
 [    -1.8188     -21.432      2400.6]
 [ -0.0013466   -0.046497           1]]"
0,18,Home,199.46803621706636,331.4574235488706,539.2938232421875,366.7384948730469,"[[    -3.4733     -7.1679      358.61]
 [    -1.8188     -21.432      2400.6]
 [ -0.0013466   -0.046497           1]]"
0,19,Home,239.72124057672264,335.9772021564265,843.9405517578125,338.93658447265625,"[[    -3.4733     -7.1679      358.61]
 [    -1.8188     -21.432      2400.6]
 [ -0.0013466   -0.046497           1]]"
0,20,Home,253.36086937452592,376.3114749130779,1193.9989013671875,428.22808837890625,"[[    -3.4733     -7.1679      358.61]
 [    -1.8188     -21.432      2400.6]
 [ -0.0013466   -0.046497           1]]"
0,21,Home,242.97683407112802,341.5598491445319,891.7679443359375,347.5533447265625,"[[    -3.4733     -7.1679      358.61]
 [    -1.8188     -21.432      2400.6]
 [ -0.0013466   -0.046497           1]]"
1,1,Away,169.77399902410232,375.90238612597375,373.732421875,568.5325317382812,"[[    -3.6741      -7.461      366.12]
 [    -1.9239     -22.635      2536.8]
 [ -0.0014248   -0.048724           1]]"
1,2,Home,242.9160590565514,396.9698469833864,1307.176513671875,522.9754028320312,"[[    -3.6741      -7.461      366.12]
 [    -1.9239     -22.635      2536.8]
 [ -0.0014248   -0.048724           1]]"
1,3,Referee,171.0986067908918,360.97004180721126,357.08099365234375,490.255126953125,"[[    -3.6741      -7.461      366.12]
 [    -1.9239     -22.635      2536.8]
 [ -0.0014248   -0.048724           1]]"
1,4,Home,205.463186372559,345.9061761606623,637.8931884765625,393.239013671875,"[[    -3.6741      -7.461      366.12]
 [    -1.9239     -22.635      2536.8]
 [ -0.0014248   -0.048724           1]]"
1,5,Home,178.46071793548734,347.3276659221848,402.9569091796875,428.9974060058594,"[[    -3.6741      -7.461      366.12]
 [    -1.9239     -22.635      2536.8]
 [ -0.0014248   -0.048724           1]]"
1,6,Home,228.61681098010155,345.69824983038194,813.7117919921875,367.67144775390625,"[[    -3.6741      -7.461      366.12]
 [    -1.9239     -22.635      2536.8]
 [ -0.0014248   -0.048724           1]]"
1,7,Referee,197.32897057716156,344.22094866406314,566.83447265625,398.16058349609375,"[[    -3.6741      -7.461      366.12]
 [    -1.9239     -22.635      2536.8]
 [ -0.0014248   -0.048724           1]]"
1,8,Referee,218.2212594940251,368.70610301395885,849.879150390625,447.4580993652344,"[[    -3.6741      -7.461      366.12]
 [    -1.9239     -22.635      2536.8]
 [ -0.0014248   -0.048724           1]]"
1,9,Home,223.76391641680647,342.2691423330957,761.81787109375,363.5274658203125,"[[    -3.6741      -7.461      366.12]
 [    -1.9239     -22.635      2536.8]
 [ -0.0014248   -0.048724           1]]"
1,10,Referee,300.6788892185691,394.6060810193804,1693.17919921875,417.5201721191406,"[[    -3.6741      -7.461      366.12]
 [    -1.9239     -22.635      2536.8]
 [ -0.0014248   -0.048724           1]]"
1,11,Home,230.20791544621292,368.5482583489926,949.931396484375,428.997314453125,"[[    -3.6741      -7.461      366.12]
 [    -1.9239     -22.635      2536.8]
 [ -0.0014248   -0.048724           1]]"
1,12,Referee,211.94449382228981,416.60796452927013,1241.868408203125,753.5679931640625,"[[    -3.6741      -7.461      366.12]
 [    -1.9239     -22.635      2536.8]
 [ -0.0014248   -0.048724           1]]"
1,13,Home,212.9497525410867,373.54259649212037,833.2821655273438,472.024658203125,"[[    -3.6741      -7.461      366.12]
 [    -1.9239     -22.635      2536.8]
 [ -0.0014248   -0.048724           1]]"
1,14,Home,170.69429751483588,329.3944771612542,305.6293029785156,388.0337219238281,"[[    -3.6741      -7.461      366.12]
 [    -1.9239     -22.635      2536.8]
 [ -0.0014248   -0.048724           1]]"
1,15,Home,251.55561692265678,358.64532249788164,1045.4002685546875,376.29205322265625,"[[    -3.6741      -7.461      366.12]
 [    -1.9239     -22.635      2536.8]
 [ -0.0014248   -0.048724           1]]"
1,16,Referee,250.9084611068406,377.83814584972856,1181.787841796875,432.68511962890625,"[[    -3.6741      -7.461      366.12]
 [    -1.9239     -22.635      2536.8]
 [ -0.0014248   -0.048724           1]]"
1,17,Home_keeper,226.94555338753335,356.4185210438909,854.25244140625,398.2954406738281,"[[    -3.6741      -7.461      366.12]
 [    -1.9239     -22.635      2536.8]
 [ -0.0014248   -0.048724           1]]"
1,18,Home,198.9612744277204,332.72987930725657,544.478759765625,364.94140625,"[[    -3.6741      -7.461      366.12]
 [    -1.9239     -22.635      2536.8]
 [ -0.0014248   -0.048724           1]]"
1,19,Home,239.43857074624134,337.15716021110745,850.825439453125,340.41424560546875,"[[    -3.6741      -7.461      366.12]
 [    -1.9239     -22.635      2536.8]
 [ -0.0014248   -0.048724           1]]"
1,20,Home,253.17652899418187,377.9824541397912,1202.554443359375,427.439208984375,"[[    -3.6741      -7.461      366.12]
 [    -1.9239     -22.635      2536.8]
 [ -0.0014248   -0.048724           1]]"
1,21,Home,242.71349965764747,342.79851719491415,898.1904296875,346.22760009765625,"[[    -3.6741      -7.461      366.12]
 [    -1.9239     -22.635      2536.8]
 [ -0.0014248   -0.048724           1]]"
2,1,Referee,170.1233844228345,374.9282296088543,379.2069091796875,567.6700439453125,"[[    -3.2658     -6.7845      352.82]
 [    -1.7064     -20.316      2284.6]
 [ -0.0012914      -0.044           1]]"
2,2,Home,242.347431126979,395.54017903487454,1313.6605224609375,523.4554443359375,"[[    -3.2658     -6.7845      352.82]
 [    -1.7064     -20.316      2284.6]
 [ -0.0012914      -0.044           1]]"
2,3,Referee,171.36305781342045,360.22438025883736,365.0172119140625,488.46820068359375,"[[    -3.2658     -6.7845      352.82]
 [    -1.7064     -20.316      2284.6]
 [ -0.0012914      -0.044           1]]"
