Frame,track_id,team,coordinates_2d_x,coordinates_2d_y,coordinates_3d_x,coordinates_3d_y,homo
0,1,Away,153.46703545017894,190.87077681549593,366.85980224609375,568.24755859375,"[[    -3.4733     -7.1679      358.61]
 [    -1.8188     -21.432      2400.6]
 [ -0.0013466   -0.046497           1]]"
0,2,Home,231.7784732609213,201.82422928760062,1300.29443359375,522.0335083007812,"[[    -3.4733     -7.1679      358.61]
 [    -1.8188     -21.432      2400.6]
 [ -0.0013466   -0.046497           1]]"
0,3,Referee,151.82477197333682,141.54353644410799,350.5380859375,491.78009033203125,"[[    -3.4733     -7.1679      358.61]
 [    -1.8188     -21.432      2400.6]
 [ -0.0013466   -0.046497           1]]"
0,4,Home,184.81855626288547,62.45350655786399,631.9959716796875,392.62261962890625,"[[    -3.4733     -7.1679      358.61]
 [    -1.8188     -21.432      2400.6]
 [ -0.0013466   -0.046497           1]]"
0,5,Home,156.6690618413654,90.03375285099098,398.7681884765625,430.0997314453125,"[[    -3.4733     -7.1679      358.61]
 [    -1.8188     -21.432      2400.6]
 [ -0.0013466   -0.046497           1]]"
0,6,Home,209.63769687245332,41.837730004744,808.1442260742188,367.4117431640625,"[[    -3.4733     -7.1679      358.61]
 [    -1.8188     -21.432      2400.6]
 [ -0.0013466   -0.046497           1]]"
0,7,Home,175.8833058176563,63.550034843809186,559.245361328125,397.37274169921875,"[[    -3.4733     -7.1679      358.61]
 [    -1.8188     -21.432      2400.6]
 [ -0.0013466   -0.046497           1]]"
0,8,Referee,202.04756895698037,129.19135041528497,845.312255859375,446.2820739746094,"[[    -3.4733     -7.1679      358.61]
 [    -1.8188     -21.432      2400.6]
 [ -0.0013466   -0.046497           1]]"
0,9,Home,203.85684311871225,33.994551201915385,758.0969848632812,364.2680358886719,"[[    -3.4733     -7.1679      358.61]
 [    -1.8188     -21.432      2400.6]
 [ -0.0013466   -0.046497           1]]"
0,10,Referee,293.1191296788976,148.59779962546642,1685.9681396484375,417.6513977050781,"[[    -3.4733     -7.1679      358.61]
 [    -1.8188     -21.432      2400.6]
 [ -0.0013466   -0.046497           1]]"
0,11,Home,214.67912304235122,118.89720782538953,944.869873046875,428.77996826171875,"[[    -3.4733     -7.1679      358.61]
 [    -1.8188     -21.432      2400.6]
 [ -0.0013466   -0.046497           1]]"
